Abundance_Controls,frac_aa_A,frac_aa_F,frac_aa_H,frac_aa_K,frac_aa_N,molecular_weight,gravy,fraction_exposed,fraction_exposed_nonpolar_exposed,rsa_std,fraction_exposed_exposed_C,fraction_exposed_exposed_E,fraction_exposed_exposed_Y,nsp_secondary_structure_coil,nsp_secondary_structure_sheet,nsp_secondary_structure_helix,Zeta Potential,Dtem,Dh_functionalized,NP_incubation Concentration (mg/mL),Incubation Concentration (mg/ml),Abundance,NPUNID,Entry
3.97818750745931e-05,0.08942457231726283,0.02332814930015552,0.02643856920684292,0.02332814930015552,0.01788491446345257,139696.7262000003,-0.01376360808709189,0.551,0.4081920903954802,0.235,0.005649717514124294,0.1242937853107345,0.00847457627118644,0.489,0.177,0.334,39,182,282,5.0,40,0.0198782429677439,27,P12661
0.00846517655191209,0.09322033898305085,0.05932203389830509,0.01483050847457627,0.05296610169491525,0.07627118644067797,52128.70890000001,-0.2936440677966103,0.508,0.3666666666666666,0.263,0.008333333333333333,0.0625,0.04166666666666666,0.506,0.189,0.305,-12,98,271,5.0,4,0.0013778577570389,24,Q95M17
3.97818750745931e-05,0.05613305613305614,0.06029106029106029,0.02286902286902287,0.04781704781704782,0.0498960498960499,53697.39460000004,0.0819126819126819,0.607,0.3527397260273973,0.231,0.003424657534246575,0.07534246575342465,0.01027397260273973,0.339,0.428,0.233,-42,82,149,5.0,4,0.0202229924176749,19,Q2TBI0
3.97818750745931e-05,0.06616541353383458,0.03909774436090226,0.02406015037593985,0.05263157894736842,0.02105263157894737,75781.66400000031,-0.3903759398496237,0.642,0.3653395784543326,0.234,0.0,0.107728337236534,0.01405152224824356,0.568,0.192,0.239,-42,82,149,5.0,4,0.1097832405235336,19,Q32LP0
3.97818750745931e-05,0.04081632653061224,0.03401360544217687,0.03401360544217687,0.03401360544217687,0.06122448979591837,16938.2968,-0.5197278911564626,0.837,0.3658536585365854,0.191,0.0,0.04878048780487805,0.02439024390243903,0.66,0.265,0.075,-42,82,149,5.0,4,0.024802606085229,19,P15467
0.00983736816319538,0.04927007299270073,0.04379562043795621,0.01277372262773723,0.072992700729927,0.04744525547445255,61997.75550000017,-0.4868613138686124,0.611,0.3044776119402985,0.203,0.005970149253731343,0.1164179104477612,0.01492537313432836,0.593,0.173,0.234,-49,182,229,5.0,4,0.5808816732393666,20,Q3MHN2
3.97818750745931e-05,0.08035714285714286,0.04464285714285714,0.02901785714285714,0.04241071428571429,0.03571428571428571,49923.85210000008,-0.2515625000000002,0.42,0.2978723404255319,0.224,0.0,0.1436170212765958,0.01595744680851064,0.393,0.158,0.449,29,82,226,5.0,4,0.288876368577078,21,P81948
0.343097528502255,0.06451612903225806,0.05376344086021505,0.01290322580645161,0.06881720430107527,0.05376344086021505,52346.5425000001,-0.1991397849462368,0.585,0.3088235294117647,0.252,0.02573529411764706,0.1176470588235294,0.01470588235294118,0.492,0.267,0.241,-12,98,271,5.0,4,1.124663393659081,24,P41361
0.000234776389055394,0.09782608695652174,0.03260869565217391,0.0108695652173913,0.05434782608695652,0.04347826086956522,10280.8229,-0.1010869565217391,0.783,0.4305555555555556,0.236,0.01388888888888889,0.08333333333333333,0.01388888888888889,0.663,0.174,0.163,-12,98,271,5.0,40,0.0353503711959198,25,P82943
0.28055744452553,0.06172839506172839,0.04938271604938271,0.02469135802469136,0.06509539842873176,0.05387205387205387,99549.75440000047,-0.2905723905723902,0.559,0.3012048192771085,0.23,0.0,0.09839357429718876,0.02409638554216868,0.492,0.343,0.165,-11,244,316,5.0,4,0.1886533460307706,30,P56652
3.97818750745931e-05,0.1255230125523012,0.02928870292887029,0.01255230125523013,0.01673640167364017,0.01673640167364017,25541.76989999998,0.007112970711297118,0.548,0.4503816793893129,0.241,0.0,0.1068702290076336,0.04580152671755725,0.469,0.264,0.268,-42,82,149,5.0,4,0.0015781605917229,19,Q3MHN0
0.0576825952466804,0.07650273224043716,0.06557377049180328,0.01639344262295082,0.06010928961748634,0.04918032786885246,21068.4104,-0.5469945355191259,0.617,0.2831858407079646,0.231,0.03539823008849557,0.09734513274336283,0.008849557522123894,0.47,0.393,0.137,29,82,288,5.0,40,0.0574196597708076,29,P18902
