Abundance_Controls,frac_aa_F,frac_aa_N,gravy,fraction_exposed,fraction_exposed_nonpolar_exposed,rsa_std,asa_sum,fraction_exposed_exposed_C,fraction_exposed_exposed_E,fraction_exposed_exposed_F,fraction_exposed_exposed_H,nsp_secondary_structure_coil,nsp_secondary_structure_sheet,Zeta Potential,Dh_functionalized,NP_incubation Concentration (mg/mL),Incubation Concentration (mg/ml),Abundance,NPUNID,Entry
1.1402473564159,0.04950495049504951,0.0396039603960396,-0.3960396039603962,0.649,0.3129770992366412,0.225,15140.26,0.02290076335877863,0.1374045801526718,0.01526717557251908,0.03053435114503817,0.475,0.366,29,288,5.0,40,0.3854752847308693,29,Q3SZR3
3.97818750745931e-05,0.02955665024630542,0.02216748768472906,-0.4790640394088672,0.663,0.4089219330855018,0.246,30673.813,0.01115241635687732,0.1115241635687732,0.003717472118959108,0.01858736059479554,0.49,0.313,-42,151,5.0,40,0.0538751842736158,28,Q0VCP3
3.97818750745931e-05,0.03539823008849557,0.05973451327433629,-0.4190265486725658,0.518,0.2948717948717949,0.241,27234.983,0.008547008547008548,0.09401709401709402,0.0170940170940171,0.03846153846153846,0.493,0.093,29,288,5.0,40,0.0463661149057927,29,Q3SWY2
41.3441763917609,0.04942339373970346,0.02306425041186162,-0.4289950576606252,0.557,0.257396449704142,0.223,38819.041,0.002958579881656805,0.1597633136094675,0.01183431952662722,0.03550295857988166,0.285,0.005,39,282,5.0,4,33.38521752899913,22,P02769
0.000196820051576531,0.003861003861003861,0.01544401544401544,-0.05521235521235516,0.568,0.4421768707482993,0.264,17118.932,0.006802721088435374,0.06122448979591837,0.0,0.04081632653061224,0.622,0.297,-49,218,5.0,40,0.0300838528064726,26,Q3T0A3
0.0184262933668031,0.02991452991452992,0.06495726495726496,-0.7239316239316238,0.596,0.3472022955523673,0.218,78014.325,0.01291248206599713,0.06456241032998565,0.01004304160688666,0.02582496413199426,0.666,0.25,39,282,5.0,4,0.5098042850305691,22,Q28178
3.97818750745931e-05,0.03980099502487562,0.04477611940298507,-0.6099502487562191,0.627,0.373015873015873,0.242,14830.625,0.007936507936507936,0.09523809523809523,0.01587301587301587,0.03174603174603174,0.607,0.393,39,282,5.0,4,0.0061364333047651,22,P19427
0.343097528502255,0.05376344086021505,0.05376344086021505,-0.1991397849462368,0.585,0.3088235294117647,0.252,30936.446,0.02573529411764706,0.1176470588235294,0.01102941176470588,0.01102941176470588,0.492,0.267,-12,271,5.0,4,1.124663393659081,24,P41361
0.00511644371378327,0.05,0.05,-0.132,0.81,0.5185185185185185,0.219,9578.473,0.03703703703703703,0.04938271604938271,0.01234567901234568,0.0,0.74,0.16,-11,316,5.0,40,0.0641664392261613,23,P04815
0.304535113545939,0.03542673107890499,0.04025764895330113,-0.6088566827697256,0.82,0.3713163064833006,0.212,54911.341,0.005893909626719057,0.068762278978389,0.02161100196463654,0.06090373280943025,0.705,0.219,12,291,5.0,40,0.128268494936329,32,P01044
1.12080321983248,0.04641350210970464,0.03586497890295359,-0.3343881856540085,0.568,0.275092936802974,0.219,30555.202,0.0,0.137546468401487,0.007434944237918215,0.02602230483271376,0.314,0.0,29,288,5.0,40,0.564522995012568,29,Q3MHN5
0.0288119712962013,0.04151838671411625,0.03914590747330961,-0.4336892052194534,0.669,0.3368794326241135,0.207,59402.823,0.007092198581560284,0.09929078014184398,0.02127659574468085,0.02482269503546099,0.605,0.21,-63,221,4.0,4,0.2475249408945329,17,Q29RQ1
0.000217533105525803,0.04926108374384237,0.04433497536945813,-0.4911330049261084,0.852,0.4046242774566474,0.195,18235.004,0.005780346820809248,0.07514450867052024,0.04624277456647399,0.01734104046242774,0.67,0.232,-49,218,5.0,40,0.0252216179510254,26,Q27967
