Abundance_Controls,frac_aa_F,frac_aa_H,frac_aa_N,molecular_weight,secondary_structure_fraction_disordered,fraction_exposed,fraction_exposed_nonpolar_exposed,fraction_exposed_polar_total,fraction_exposed_exposed_C,fraction_exposed_exposed_E,fraction_exposed_exposed_Y,nsp_secondary_structure_coil,nsp_secondary_structure_sheet,Zeta Potential,Dh_functionalized,NP_incubation Concentration (mg/mL),Abundance,NPUNID,Entry
0.000301167811591694,0.06030150753768844,0.02512562814070352,0.03015075376884422,21945.7257,0.221105527638191,0.472,0.3404255319148936,0.8391959798994975,0.02127659574468085,0.1170212765957447,0.01063829787234043,0.477,0.216,-49,218,5.0,0.0018969823033562,26,Q9BGI3
0.00267865526270584,0.04112554112554113,0.02164502164502164,0.05411255411255411,52045.2398,0.2597402597402597,0.632,0.339041095890411,0.7857142857142857,0.01027397260273973,0.1335616438356164,0.0273972602739726,0.634,0.232,-42,149,5.0,0.0456239118880423,19,P00741
1.01916394421857,0.03875968992248062,0.0103359173126615,0.04651162790697674,42662.82150000007,0.2015503875968992,0.804,0.4244372990353698,0.6589147286821705,0.01607717041800643,0.08038585209003216,0.02572347266881029,0.656,0.248,29,288,5.0,0.4119800321510669,29,Q58D62
3.97818750745931e-05,0.04285714285714286,0.02714285714285714,0.02428571428571429,79074.9310000003,0.1914285714285714,0.54,0.3253968253968254,0.8242857142857143,0.01587301587301587,0.119047619047619,0.01322751322751323,0.503,0.067,-49,218,5.0,0.0070943535582401,26,A6QNT4
0.00283929633618224,0.03828828828828829,0.02477477477477477,0.06081081081081081,50243.48500000004,0.2657657657657657,0.716,0.3584905660377358,0.7432432432432432,0.01886792452830189,0.07232704402515723,0.04088050314465409,0.601,0.133,12,229,5.0,0.0097963451699776,33,P12799
0.00193448256363617,0.01686217008797654,0.008797653958944282,0.03152492668621701,129061.9843000009,0.1510263929618769,0.913,0.6763052208835342,0.3826979472140762,0.001606425702811245,0.05140562248995984,0.005622489959839358,0.917,0.059,-49,218,5.0,0.1096245273821688,26,P02465
0.000217533105525803,0.04926108374384237,0.01477832512315271,0.04433497536945813,23133.8834,0.2019704433497537,0.852,0.4046242774566474,0.6551724137931034,0.005780346820809248,0.07514450867052024,0.04046242774566474,0.67,0.232,-63,221,4.0,0.0278793870950821,17,Q27967
0.000225748426689214,0.008438818565400843,0.01687763713080169,0.02531645569620253,24966.70209999998,0.2784810126582278,0.865,0.4487804878048781,0.6118143459915611,0.03414634146341464,0.06829268292682927,0.00975609756097561,0.831,0.076,-42,149,5.0,0.0233085001365471,19,Q05718
1.12080321983248,0.04641350210970464,0.0189873417721519,0.03586497890295359,53341.49400000005,0.2447257383966244,0.568,0.275092936802974,0.8438818565400844,0.0,0.137546468401487,0.01115241635687732,0.314,0.0,-11,316,5.0,4.336381357002137,30,Q3MHN5
3.97818750745931e-05,0.01941747572815534,0.01941747572815534,0.01941747572815534,11367.20309999999,0.3009708737864077,0.728,0.4133333333333333,0.6990291262135923,0.0,0.05333333333333334,0.02666666666666667,0.427,0.01,12,229,5.0,0.0094274986826647,33,P62803
3.97818750745931e-05,0.0196078431372549,0.01176470588235294,0.04313725490196078,29173.57520000003,0.2039215686274509,0.588,0.2666666666666667,0.8431372549019608,0.006666666666666667,0.1666666666666667,0.02666666666666667,0.224,0.0,12,291,5.0,0.0586111120516653,32,P62261
0.387476893391423,0.0457516339869281,0.04357298474945534,0.03485838779956427,52208.66320000005,0.2113289760348583,0.601,0.3768115942028986,0.7734204793028322,0.01449275362318841,0.07608695652173914,0.007246376811594203,0.614,0.32,39,282,5.0,0.1279190315624709,22,Q3SZV7
3.97818750745931e-05,0.07407407407407407,0.01388888888888889,0.02314814814814815,23743.2241,0.263888888888889,0.634,0.4452554744525548,0.7175925925925926,0.0,0.08029197080291971,0.0145985401459854,0.63,0.264,-12,271,5.0,0.0390029297155337,25,P80311
3.97818750745931e-05,0.0351123595505618,0.03651685393258427,0.03370786516853932,79971.97230000034,0.2865168539325843,0.652,0.4245689655172414,0.723314606741573,0.008620689655172414,0.07112068965517242,0.01077586206896552,0.695,0.25,-49,229,5.0,0.0638774810624293,20,Q24K22
0.000365593733540826,0.01052631578947368,0.03157894736842105,0.03684210526315789,21062.8045,0.2052631578947368,0.574,0.4403669724770642,0.7473684210526316,0.009174311926605505,0.03669724770642202,0.03669724770642202,0.595,0.137,-42,151,5.0,0.0019138982675396,28,Q8SPP7
3.97818750745931e-05,0.03610108303249097,0.02166064981949458,0.09747292418772563,31536.87070000001,0.1191335740072204,0.578,0.225,0.8700361010830325,0.0,0.11875,0.025,0.661,0.101,-42,151,5.0,0.0462923663174488,28,Q5E9C0
0.123046694446659,0.0352,0.0192,0.0368,70504.74120000022,0.2448,0.674,0.3729216152019003,0.7488,0.009501187648456057,0.1235154394299287,0.02612826603325416,0.717,0.166,-11,316,5.0,1.371588706041041,30,P00735
0.752092584803253,0.04866180048661801,0.024330900243309,0.05109489051094891,46236.37440000004,0.1532846715328468,0.535,0.2590909090909091,0.8613138686131386,0.004545454545454545,0.1272727272727273,0.00909090909090909,0.438,0.302,29,226,5.0,0.1317811088890306,21,Q9TTE1
0.000440293380180725,0.01497005988023952,0.02095808383233533,0.05089820359281437,36723.21950000002,0.1586826347305389,0.5,0.3413173652694611,0.8293413173652695,0.0,0.1197604790419162,0.02994011976047904,0.377,0.198,-7,266,2.4,0.007200803797708,34,Q5E9B1
0.139881759878826,0.06086956521739131,0.02898550724637681,0.03768115942028986,38251.70550000003,0.2608695652173914,0.696,0.3875,0.7304347826086957,0.004166666666666667,0.08333333333333333,0.025,0.658,0.333,12,229,5.0,0.0597192213803816,33,P17690
0.0642788147923911,0.04166666666666666,0.03333333333333333,0.05416666666666667,26132.90710000002,0.1875,0.758,0.4725274725274725,0.6416666666666667,0.005494505494505495,0.07142857142857142,0.04945054945054945,0.721,0.279,-49,218,5.0,0.0303166715117485,26,Q3Y5Z3
0.000437637298306173,0.03457446808510638,0.02925531914893617,0.0797872340425532,43037.14730000005,0.1037234042553191,0.598,0.3244444444444444,0.8058510638297872,0.01333333333333333,0.08444444444444445,0.05777777777777778,0.846,0.112,-42,151,5.0,0.0049110740452348,28,P13605
0.0529479107062413,0.04856512141280353,0.02980132450331126,0.04525386313465784,101235.4810000005,0.2284768211920529,0.588,0.3320825515947467,0.804635761589404,0.00375234521575985,0.07879924953095685,0.005628517823639775,0.509,0.321,-63,221,4.0,0.0239147313001102,17,Q0VCM5
3.97818750745931e-05,0.05882352941176471,0.04554079696394687,0.06261859582542695,59914.55740000008,0.2523719165085389,0.518,0.347985347985348,0.8197343453510436,0.0,0.08791208791208792,0.0293040293040293,0.552,0.154,39,282,5.0,0.0008571354823963,27,P00432
0.0705612720230796,0.02750809061488673,0.02508090614886731,0.0372168284789644,140372.5020000004,0.31957928802589,0.701,0.3275663206459054,0.7702265372168284,0.00461361014994233,0.1141868512110727,0.02076124567474048,0.604,0.391,-11,316,5.0,0.9953190824484348,23,Q28085
3.97818750745931e-05,0.09146341463414634,0.02439024390243903,0.05487804878048781,17869.15569999998,0.2682926829268293,0.543,0.4157303370786517,0.774390243902439,0.01123595505617977,0.101123595505618,0.01123595505617977,0.512,0.372,-11,316,5.0,0.0017771991841732,23,P62935
3.97818750745931e-05,0.02489626556016597,0.02904564315352697,0.01244813278008299,27493.53910000001,0.3029045643153527,1.0,0.3526970954356847,0.6473029045643154,0.01659751037344398,0.1576763485477178,0.01244813278008299,0.838,0.0,-42,151,5.0,0.0015204474229447,28,O18979
3.97818750745931e-05,0.01796407185628742,0.03592814371257485,0.05389221556886228,18450.25399999999,0.2395209580838323,0.85,0.4154929577464789,0.6467065868263473,0.0,0.02816901408450704,0.04225352112676056,0.689,0.263,-42,151,5.0,0.0149564905362216,28,P39873
