Abundance_Controls,frac_aa_A,frac_aa_E,molecular_weight,secondary_structure_fraction_disordered,fraction_buried,asa_sum,fraction_exposed_exposed_F,fraction_exposed_exposed_G,fraction_exposed_exposed_H,fraction_exposed_exposed_L,fraction_exposed_exposed_Y,nsp_secondary_structure_coil,nsp_secondary_structure_helix,Zeta Potential,Dh_functionalized,NP_incubation Concentration (mg/mL),Abundance,NPUNID,Entry
0.00193448256363617,0.09237536656891496,0.0469208211143695,129061.9843000009,0.1510263929618769,0.087,128050.738,0.01445783132530121,0.2867469879518073,0.007228915662650603,0.03855421686746988,0.005622489959839358,0.917,0.023,-11,316,5.0,0.0068252978942637,23,P02465
3.97818750745931e-05,0.05454545454545454,0.07272727272727272,18847.27809999999,0.2484848484848485,0.182,14181.987,0.02222222222222222,0.06666666666666667,0.007407407407407408,0.07407407407407407,0.007407407407407408,0.679,0.115,-63,221,4.0,0.1108906227932053,18,P56425
0.00295200447545541,0.07317073170731707,0.09552845528455285,54509.53510000009,0.2642276422764227,0.358,35932.517,0.01582278481012658,0.08860759493670886,0.03481012658227848,0.07278481012658228,0.006329113924050633,0.634,0.157,-12,271,5.0,0.5467237090071956,24,P00743
3.97818750745931e-05,0.05970149253731343,0.1318407960199005,92425.58860000053,0.25,0.374,58884.423,0.009940357852882704,0.04970178926441352,0.01192842942345924,0.03578528827037773,0.01391650099403579,0.522,0.317,39,282,5.0,0.0260197377243804,22,Q95M18
0.000301167811591694,0.07537688442211055,0.06030150753768844,21945.7257,0.221105527638191,0.528,10877.897,0.0425531914893617,0.1170212765957447,0.0425531914893617,0.01063829787234043,0.01063829787234043,0.477,0.307,-63,221,4.0,0.0049338542088574,17,Q9BGI3
0.000910434757046537,0.04480286738351254,0.05376344086021505,62439.94680000014,0.2992831541218638,0.355,42687.811,0.02777777777777778,0.06388888888888888,0.03055555555555555,0.06111111111111111,0.03333333333333333,0.683,0.07,-11,316,5.0,0.2991300184039031,23,Q5E9Z2
0.31324465294298,0.0480295566502463,0.07142857142857142,91215.14390000046,0.291871921182266,0.36,58457.623,0.02115384615384616,0.0673076923076923,0.02115384615384616,0.03846153846153846,0.01923076923076923,0.659,0.076,-11,316,5.0,0.1312862698966415,23,P06868
0.000301167811591694,0.07537688442211055,0.06030150753768844,21945.7257,0.221105527638191,0.528,10877.897,0.0425531914893617,0.1170212765957447,0.0425531914893617,0.01063829787234043,0.01063829787234043,0.477,0.307,39,282,5.0,0.0045498980658254,27,Q9BGI3
41.3441763917609,0.07907742998352553,0.09719934102141681,69292.68350000019,0.2751235584843492,0.443,38819.041,0.01183431952662722,0.01775147928994083,0.03550295857988166,0.03846153846153846,0.01183431952662722,0.285,0.71,39,282,5.0,21.58540485005309,27,P02769
3.97818750745931e-05,0.05960264900662252,0.02649006622516556,16319.8118,0.2251655629139072,0.43,9414.482,0.01162790697674419,0.1395348837209302,0.01162790697674419,0.06976744186046512,0.0,0.669,0.06,-42,149,5.0,0.0043567678479133,19,O62644
3.97818750745931e-05,0.04807692307692308,0.0673076923076923,23461.4171,0.2596153846153847,0.409,15235.101,0.01626016260162602,0.07317073170731707,0.0,0.03252032520325204,0.03252032520325204,0.5,0.303,-49,229,5.0,0.0068605287035906,20,A6QR46
3.33316194420297,0.06556291390728476,0.076158940397351,167574.0426999998,0.1894039735099338,0.426,96761.618,0.01963048498845266,0.05773672055427252,0.02771362586605081,0.03926096997690531,0.01847575057736721,0.495,0.134,-42,151,5.0,0.465862810386785,28,Q7SIH1
